objectid,display_template,collectionid,object_location,image_small,image_thumb,identifier,filename,parentid,alt_text,institutionid,parent_collection,title,rights,Type,language,Creator,contributor,date,description,extent,format,subject,location,
aami_a2008020_b8_013_001,compound_object,aami_c1,,,,aami_a2008020_b8_013_001,,,,AAMI,Amplifying Black Voices in Iowa;H. Robert Wilson Collection,Correspondence,http://rightsstatements.org/vocab/InC-RUU/1.0/,Text,eng,,,4/12/1983,,,,"African Americans;Black people;Christian women--Religious life;women, Black;women, African American",,
aami_a2008020_b8_013_001_p001,image,aami_c1,,,,aami_a2008020_b8_013_001_p001,,aami_a2008020_b8_013_001,,,,Page 1,,,,,,,,,,,,
aami_a2008020_b8_013_001_p002,image,aami_c1,,,,aami_a2008020_b8_013_001_p002,,aami_a2008020_b8_013_001,,,,Page 2,,,,,,,,,,,,
aami_a2008020_b8_013_002,image,aami_c1,,,,aami_a2008020_b8_013_002,,,,AAMI,Amplifying Black Voices in Iowa;H. Robert Wilson Collection,Announcement from Electa administration council,http://rightsstatements.org/vocab/InC-RUU/1.0/,Text,eng,,,1977-06,,,,"African Americans;Black people;Christian women--Religious life;women, Black;women, African American",,
aami_a2008020_b8_013_003,image,aami_c1,,,,aami_a2008020_b8_013_003,,,,AAMI,Amplifying Black Voices in Iowa;H. Robert Wilson Collection,Address of Worthy Matron friends night,http://rightsstatements.org/vocab/InC-RUU/1.0/,Text,eng,,,,Written on letterhead from Electa Grand Chapter O. E. S. (Prince Hall Affiliation).,,,"African Americans;Black people;Christian women--Religious life;women, Black;women, African American",,
aami_a2008020_b8_013_004,compound_object,aami_c1,,,,aami_a2008020_b8_013_004,,,,AAMI,Amplifying Black Voices in Iowa;H. Robert Wilson Collection,"O. E. S. newsletter, volume 1, no. 1",http://rightsstatements.org/vocab/InC-RUU/1.0/,Text;Still Image,eng,,,1980-10,"Grand Worthy Matron Haley O. Houston, Grand Worthy Patron Ernest J. Middleton, editor Elaine C. Williams.",,,"African Americans;Black people;Christian women--Religious life;women, Black;women, African American",,
aami_a2008020_b8_013_004_p001,image,aami_c1,,,,aami_a2008020_b8_013_004_p001,,aami_a2008020_b8_013_004,,,,Page 1,,,,,,,,,,,,
aami_a2008020_b8_013_004_p002,image,aami_c1,,,,aami_a2008020_b8_013_004_p002,,aami_a2008020_b8_013_004,,,,Page 2,,,,,,,,,,,,
aami_a2008020_b8_013_004_p003,image,aami_c1,,,,aami_a2008020_b8_013_004_p003,,aami_a2008020_b8_013_004,,,,Page 3,,,,,,,,,,,,
aami_a2008020_b8_013_004_p004,image,aami_c1,,,,aami_a2008020_b8_013_004_p004,,aami_a2008020_b8_013_004,,,,Page 4,,,,,,,,,,,,
